exp_name,max_total,balance,rep_count,tflite_kb,ms_keras,ms_tflite,delta_mse,delta_mae,delta_max,in_scale,in_zp,out_scale,out_zp,rep_path,tflite_path,status,note
mt500_b0p25,500,0.25,500,141.99,0.546,0.019,0.1542585,0.2245947,2.535102,0.11226172000169754,36,0.05055522546172142,67,qbench_sweep_20251027_165731/experiments/mt500_b0p25/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt500_b0p25/tflite/model_int8_full.tflite,OK,
mt500_b0p3,500,0.3,500,141.99,0.554,0.019,0.1491456,0.2153657,2.39022,0.17049096524715424,-20,0.05055522546172142,67,qbench_sweep_20251027_165731/experiments/mt500_b0p3/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt500_b0p3/tflite/model_int8_full.tflite,OK,
mt500_b0p35,500,0.35,500,141.99,0.554,0.02,0.1359469,0.1958086,2.756309,0.17049096524715424,-20,0.05057685077190399,67,qbench_sweep_20251027_165731/experiments/mt500_b0p35/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt500_b0p35/tflite/model_int8_full.tflite,OK,
mt500_b0p4,500,0.4,500,141.99,0.547,0.019,0.1168785,0.1731804,2.535007,0.17049096524715424,-20,0.05057685077190399,67,qbench_sweep_20251027_165731/experiments/mt500_b0p4/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt500_b0p4/tflite/model_int8_full.tflite,OK,
mt500_b0p45,500,0.45,500,141.99,0.55,0.019,0.1094707,0.1595272,2.588667,0.17049096524715424,-20,0.05057685077190399,67,qbench_sweep_20251027_165731/experiments/mt500_b0p45/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt500_b0p45/tflite/model_int8_full.tflite,OK,
mt500_b0p5,500,0.5,500,141.99,0.397,0.019,0.08935092,0.1340142,2.7942,0.17049096524715424,-20,0.051691558212041855,63,qbench_sweep_20251027_165731/experiments/mt500_b0p5/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt500_b0p5/tflite/model_int8_full.tflite,OK,
mt500_b0p55,500,0.55,500,141.99,0.554,0.019,0.08310954,0.1248009,2.413585,0.17049096524715424,-20,0.05172700434923172,63,qbench_sweep_20251027_165731/experiments/mt500_b0p55/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt500_b0p55/tflite/model_int8_full.tflite,OK,
mt500_b0p6,500,0.6,500,141.99,0.483,0.02,0.0567444,0.09173809,2.645663,0.17049096524715424,-20,0.05172700434923172,63,qbench_sweep_20251027_165731/experiments/mt500_b0p6/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt500_b0p6/tflite/model_int8_full.tflite,OK,
mt1000_b0p25,1000,0.25,1000,141.99,0.545,0.019,0.1943257,0.2843284,3.006288,0.17049096524715424,-20,0.051691558212041855,63,qbench_sweep_20251027_165731/experiments/mt1000_b0p25/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt1000_b0p25/tflite/model_int8_full.tflite,OK,
mt1000_b0p3,1000,0.3,1000,141.99,0.488,0.019,0.1930433,0.2736233,2.20827,0.17049096524715424,-20,0.05172700434923172,63,qbench_sweep_20251027_165731/experiments/mt1000_b0p3/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt1000_b0p3/tflite/model_int8_full.tflite,OK,
mt1000_b0p35,1000,0.35,1000,141.99,0.405,0.02,0.1733995,0.2479467,2.699536,0.17049096524715424,-20,0.05181054025888443,63,qbench_sweep_20251027_165731/experiments/mt1000_b0p35/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt1000_b0p35/tflite/model_int8_full.tflite,OK,
mt1000_b0p4,1000,0.4,1000,141.99,0.48,0.019,0.1738674,0.2475435,2.538461,0.17049096524715424,-20,0.051849089562892914,63,qbench_sweep_20251027_165731/experiments/mt1000_b0p4/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt1000_b0p4/tflite/model_int8_full.tflite,OK,
mt1000_b0p45,1000,0.45,1000,141.99,0.392,0.02,0.1459959,0.2211165,2.211843,0.17049096524715424,-20,0.051849089562892914,63,qbench_sweep_20251027_165731/experiments/mt1000_b0p45/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt1000_b0p45/tflite/model_int8_full.tflite,OK,
mt1000_b0p5,1000,0.5,1000,141.99,0.487,0.02,0.1222,0.1991796,2.360709,0.17049096524715424,-20,0.051849089562892914,63,qbench_sweep_20251027_165731/experiments/mt1000_b0p5/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt1000_b0p5/tflite/model_int8_full.tflite,OK,
mt1000_b0p55,1000,0.55,1000,141.99,0.558,0.019,0.1142245,0.1825851,2.51314,0.17049096524715424,-20,0.0520002581179142,62,qbench_sweep_20251027_165731/experiments/mt1000_b0p55/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt1000_b0p55/tflite/model_int8_full.tflite,OK,
mt1000_b0p6,1000,0.6,1000,141.99,0.553,0.02,0.09314787,0.1608125,2.342301,0.17049096524715424,-20,0.0520055927336216,62,qbench_sweep_20251027_165731/experiments/mt1000_b0p6/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt1000_b0p6/tflite/model_int8_full.tflite,OK,
mt2000_b0p25,2000,0.25,2000,141.99,0.517,0.02,0.2257926,0.3157119,2.596591,0.17049096524715424,-20,0.051849089562892914,63,qbench_sweep_20251027_165731/experiments/mt2000_b0p25/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt2000_b0p25/tflite/model_int8_full.tflite,OK,
mt2000_b0p3,2000,0.3,2000,141.99,0.552,0.02,0.2014679,0.2909464,2.540409,0.17049096524715424,-20,0.0520055927336216,62,qbench_sweep_20251027_165731/experiments/mt2000_b0p3/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt2000_b0p3/tflite/model_int8_full.tflite,OK,
mt2000_b0p35,2000,0.35,2000,141.99,0.552,0.019,0.1783281,0.267263,2.621047,0.17049096524715424,-20,0.0520055927336216,62,qbench_sweep_20251027_165731/experiments/mt2000_b0p35/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt2000_b0p35/tflite/model_int8_full.tflite,OK,
mt2000_b0p4,2000,0.4,2000,141.99,0.398,0.019,0.1755624,0.2603473,2.72135,0.17049096524715424,-20,0.0520055927336216,62,qbench_sweep_20251027_165731/experiments/mt2000_b0p4/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt2000_b0p4/tflite/model_int8_full.tflite,OK,
mt2000_b0p45,2000,0.45,2000,141.99,0.392,0.019,0.1421644,0.2271819,2.247434,0.17049096524715424,-20,0.0520055927336216,62,qbench_sweep_20251027_165731/experiments/mt2000_b0p45/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt2000_b0p45/tflite/model_int8_full.tflite,OK,
mt2000_b0p5,2000,0.5,2000,141.99,0.552,0.02,0.1400022,0.2178032,2.674862,0.17049096524715424,-20,0.05205581337213516,62,qbench_sweep_20251027_165731/experiments/mt2000_b0p5/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt2000_b0p5/tflite/model_int8_full.tflite,OK,
mt2000_b0p55,2000,0.55,2000,141.99,0.559,0.02,0.1241302,0.19738,2.340096,0.17049096524715424,-20,0.05205581337213516,62,qbench_sweep_20251027_165731/experiments/mt2000_b0p55/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt2000_b0p55/tflite/model_int8_full.tflite,OK,
mt2000_b0p6,2000,0.6,2000,141.99,0.488,0.019,0.09701212,0.1691235,2.174276,0.17049096524715424,-20,0.05205581337213516,62,qbench_sweep_20251027_165731/experiments/mt2000_b0p6/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt2000_b0p6/tflite/model_int8_full.tflite,OK,
mt3000_b0p25,3000,0.25,3000,141.99,0.535,0.02,0.196728,0.2998184,2.285758,0.17049096524715424,-20,0.0520055927336216,62,qbench_sweep_20251027_165731/experiments/mt3000_b0p25/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt3000_b0p25/tflite/model_int8_full.tflite,OK,
mt3000_b0p3,3000,0.3,3000,141.99,0.558,0.019,0.2145302,0.303871,2.261256,0.17049096524715424,-20,0.0520055927336216,62,qbench_sweep_20251027_165731/experiments/mt3000_b0p3/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt3000_b0p3/tflite/model_int8_full.tflite,OK,
mt3000_b0p35,3000,0.35,3000,141.99,0.538,0.02,0.1628495,0.2636419,1.965318,0.8337522149085999,-106,0.05205581337213516,62,qbench_sweep_20251027_165731/experiments/mt3000_b0p35/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt3000_b0p35/tflite/model_int8_full.tflite,OK,
mt3000_b0p4,3000,0.4,3000,141.99,0.55,0.019,0.1738391,0.2605576,2.275177,0.17049096524715424,-20,0.05205581337213516,62,qbench_sweep_20251027_165731/experiments/mt3000_b0p4/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt3000_b0p4/tflite/model_int8_full.tflite,OK,
mt3000_b0p45,3000,0.45,3000,141.99,0.487,0.02,0.1642347,0.242382,2.86581,0.17049096524715424,-20,0.05215125158429146,61,qbench_sweep_20251027_165731/experiments/mt3000_b0p45/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt3000_b0p45/tflite/model_int8_full.tflite,OK,
mt3000_b0p5,3000,0.5,3000,141.99,0.39,0.019,0.1297504,0.2127752,1.886098,0.17049096524715424,-20,0.05215125158429146,61,qbench_sweep_20251027_165731/experiments/mt3000_b0p5/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt3000_b0p5/tflite/model_int8_full.tflite,OK,
mt3000_b0p55,3000,0.55,3000,141.99,0.556,0.019,0.1210267,0.2038551,1.986807,0.3879585564136505,-81,0.05215125158429146,61,qbench_sweep_20251027_165731/experiments/mt3000_b0p55/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt3000_b0p55/tflite/model_int8_full.tflite,OK,
mt3000_b0p6,3000,0.6,3000,141.99,0.551,0.021,0.1741441,0.2708057,2.796539,1.6012954711914062,-117,0.05229068174958229,61,qbench_sweep_20251027_165731/experiments/mt3000_b0p6/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt3000_b0p6/tflite/model_int8_full.tflite,OK,
mt4000_b0p25,4000,0.25,4000,141.99,0.551,0.019,0.2093523,0.3088194,2.321181,0.17049096524715424,-20,0.05205581337213516,62,qbench_sweep_20251027_165731/experiments/mt4000_b0p25/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt4000_b0p25/tflite/model_int8_full.tflite,OK,
mt4000_b0p3,4000,0.3,4000,141.99,0.55,0.02,0.1914243,0.289986,2.406653,0.17049096524715424,-20,0.05205581337213516,62,qbench_sweep_20251027_165731/experiments/mt4000_b0p3/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt4000_b0p3/tflite/model_int8_full.tflite,OK,
mt4000_b0p35,4000,0.35,4000,141.99,0.557,0.018,0.1818906,0.2736924,2.184982,0.17049096524715424,-20,0.05215125158429146,61,qbench_sweep_20251027_165731/experiments/mt4000_b0p35/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt4000_b0p35/tflite/model_int8_full.tflite,OK,
mt4000_b0p4,4000,0.4,4000,141.99,0.49,0.019,0.1662592,0.2540513,2.250505,0.17049096524715424,-20,0.05215125158429146,61,qbench_sweep_20251027_165731/experiments/mt4000_b0p4/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt4000_b0p4/tflite/model_int8_full.tflite,OK,
mt4000_b0p45,4000,0.45,4000,141.99,0.552,0.021,0.2063235,0.3085979,2.269405,1.6012954711914062,-117,0.05229068174958229,61,qbench_sweep_20251027_165731/experiments/mt4000_b0p45/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt4000_b0p45/tflite/model_int8_full.tflite,OK,
mt4000_b0p5,4000,0.5,4000,141.99,0.556,0.021,0.2437963,0.3290761,2.797929,1.6012954711914062,-117,0.05356369912624359,56,qbench_sweep_20251027_165731/experiments/mt4000_b0p5/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt4000_b0p5/tflite/model_int8_full.tflite,OK,
mt4000_b0p55,4000,0.55,4000,141.99,0.552,0.022,0.2297484,0.3259656,2.600241,1.6012954711914062,-117,0.05356369912624359,56,qbench_sweep_20251027_165731/experiments/mt4000_b0p55/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt4000_b0p55/tflite/model_int8_full.tflite,OK,
mt4000_b0p6,4000,0.6,4000,141.99,0.551,0.022,0.2403953,0.3229198,2.613358,1.6568186283111572,-117,0.05356369912624359,56,qbench_sweep_20251027_165731/experiments/mt4000_b0p6/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt4000_b0p6/tflite/model_int8_full.tflite,OK,
mt5000_b0p25,5000,0.25,5000,141.99,0.409,0.019,0.2170416,0.3091803,2.774701,0.17049096524715424,-20,0.05205581337213516,62,qbench_sweep_20251027_165731/experiments/mt5000_b0p25/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt5000_b0p25/tflite/model_int8_full.tflite,OK,
mt5000_b0p3,5000,0.3,5000,141.99,0.545,0.02,0.2169061,0.3075434,2.865862,0.22936174273490906,-48,0.05215125158429146,61,qbench_sweep_20251027_165731/experiments/mt5000_b0p3/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt5000_b0p3/tflite/model_int8_full.tflite,OK,
mt5000_b0p35,5000,0.35,5000,141.99,0.543,0.02,0.195663,0.2830388,2.735847,0.22936174273490906,-48,0.05218496918678284,61,qbench_sweep_20251027_165731/experiments/mt5000_b0p35/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt5000_b0p35/tflite/model_int8_full.tflite,OK,
mt5000_b0p4,5000,0.4,5000,141.99,0.404,0.02,0.1669615,0.262193,2.254349,0.17049096524715424,-20,0.05238170921802521,61,qbench_sweep_20251027_165731/experiments/mt5000_b0p4/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt5000_b0p4/tflite/model_int8_full.tflite,OK,
mt5000_b0p45,5000,0.45,5000,141.99,0.404,0.02,0.1664216,0.258626,2.679115,0.21605204045772552,-43,0.052654948085546494,60,qbench_sweep_20251027_165731/experiments/mt5000_b0p45/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt5000_b0p45/tflite/model_int8_full.tflite,OK,
mt5000_b0p5,5000,0.5,5000,141.99,0.55,0.02,0.2160462,0.3135567,2.256557,1.6568186283111572,-117,0.053418952971696854,57,qbench_sweep_20251027_165731/experiments/mt5000_b0p5/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt5000_b0p5/tflite/model_int8_full.tflite,OK,
mt5000_b0p55,5000,0.55,5000,141.99,0.551,0.021,0.2314875,0.3256518,3.230417,1.6568186283111572,-117,0.05411498248577118,55,qbench_sweep_20251027_165731/experiments/mt5000_b0p55/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt5000_b0p55/tflite/model_int8_full.tflite,OK,
mt5000_b0p6,5000,0.6,5000,141.99,0.553,0.021,0.2153188,0.309646,2.497604,1.6568186283111572,-117,0.05659588798880577,47,qbench_sweep_20251027_165731/experiments/mt5000_b0p6/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt5000_b0p6/tflite/model_int8_full.tflite,OK,
mt6000_b0p25,6000,0.25,6000,141.99,0.403,0.019,0.22964,0.3237254,2.508082,0.17049096524715424,-20,0.05215125158429146,61,qbench_sweep_20251027_165731/experiments/mt6000_b0p25/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt6000_b0p25/tflite/model_int8_full.tflite,OK,
mt6000_b0p3,6000,0.3,6000,141.99,0.406,0.02,0.2160218,0.3088656,2.667016,0.17049096524715424,-20,0.05218496918678284,61,qbench_sweep_20251027_165731/experiments/mt6000_b0p3/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt6000_b0p3/tflite/model_int8_full.tflite,OK,
mt6000_b0p35,6000,0.35,6000,141.99,0.561,0.019,0.1691385,0.2689036,2.687416,0.17049096524715424,-20,0.05259726569056511,60,qbench_sweep_20251027_165731/experiments/mt6000_b0p35/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt6000_b0p35/tflite/model_int8_full.tflite,OK,
mt6000_b0p4,6000,0.4,6000,141.99,0.488,0.02,0.2346706,0.3372976,2.240127,1.6568186283111572,-117,0.05323544517159462,58,qbench_sweep_20251027_165731/experiments/mt6000_b0p4/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt6000_b0p4/tflite/model_int8_full.tflite,OK,
mt6000_b0p45,6000,0.45,6000,141.99,0.547,0.021,0.2500216,0.3428248,2.396301,1.6568186283111572,-117,0.053775854408741,56,qbench_sweep_20251027_165731/experiments/mt6000_b0p45/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt6000_b0p45/tflite/model_int8_full.tflite,OK,
mt6000_b0p5,6000,0.5,6000,141.99,0.544,0.021,0.2130407,0.3180698,2.62234,1.6568186283111572,-117,0.05659588798880577,47,qbench_sweep_20251027_165731/experiments/mt6000_b0p5/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt6000_b0p5/tflite/model_int8_full.tflite,OK,
mt6000_b0p55,6000,0.55,6000,141.99,0.558,0.021,0.2431704,0.3346001,2.909463,1.6568186283111572,-117,0.05994482338428497,37,qbench_sweep_20251027_165731/experiments/mt6000_b0p55/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt6000_b0p55/tflite/model_int8_full.tflite,OK,
mt6000_b0p6,6000,0.6,6000,141.99,0.391,0.021,0.2265734,0.3235591,2.467233,1.6568186283111572,-117,0.05994482338428497,37,qbench_sweep_20251027_165731/experiments/mt6000_b0p6/rep/rep_windows_balanced.npz,qbench_sweep_20251027_165731/experiments/mt6000_b0p6/tflite/model_int8_full.tflite,OK,
